Date,Close,High,Low,Open,Volume
2026-01-07,91308.0546875,93738.7890625,90601.8046875,93727.46875,43461295053
2026-01-08,91027.125,91485.8515625,89233.875,91309.640625,42386697030
2026-01-09,90513.1015625,91910.671875,89625.3828125,91026.2734375,38305906684
2026-01-10,90386.6484375,90713.03125,90283.3984375,90510.1015625,12385895282
2026-01-11,90827.4609375,91155.2265625,90212.0234375,90385.359375,17165568977
2026-01-12,91192.9921875,92395.5234375,90055.0234375,90825.859375,41346275358
2026-01-13,95321.78125,96011.625,90941.9296875,91185.3359375,54980674354
2026-01-14,96929.328125,97860.6015625,94583.046875,95322.90625,60592490863
2026-01-15,95551.1875,97150.171875,95103.2421875,96931.2890625,53086363027
2026-01-16,95525.1171875,95801.890625,94259.2734375,95554.1015625,33248170537
2026-01-17,95099.921875,95598.4765625,95005.6171875,95525.15625,16021715122
2026-01-18,93634.4296875,95491.5078125,93588.8671875,95101.1796875,20809781232
2026-01-19,92553.59375,93660.828125,92089.25,93655.671875,39195241508
2026-01-20,88310.90625,92798.4296875,87814.9296875,92553.6015625,53072968031
2026-01-21,89376.9609375,90430.40625,87231.5703125,88326.5078125,56330422434
2026-01-22,89462.453125,90258.9609375,88438.4453125,89378.5234375,35549685694
2026-01-23,89503.875,91100.25,88486.359375,89462.046875,38997586037
2026-01-24,89110.734375,89811.609375,89044.2890625,89506.1484375,14558687712
2026-01-25,86572.21875,89193.1484375,86003.7109375,89104.765625,36124986722
2026-01-26,88267.140625,88743.0703125,86429.2890625,86566.5234375,45329286974
2026-01-27,89102.5703125,89427.125,87228.921875,88257.4765625,38744942267
2026-01-28,89184.5703125,90439.2890625,88721.4609375,89104.046875,39807419296
2026-01-29,84561.5859375,89200.78125,83250.6015625,89169.8515625,64653083162
2026-01-30,84128.65625,84602.1640625,81071.4765625,84562.7265625,72083816087
2026-01-31,78621.1171875,84136.921875,75815.8828125,84126.5,70479259159
2026-02-01,76974.4453125,79322.609375,75698.8984375,78626.125,53372509744
2026-02-02,78688.765625,79258.609375,74551.3359375,76968.875,75140589684
2026-02-03,75633.546875,79118.8515625,72897.140625,78693.5078125,68249110822
2026-02-04,73019.703125,76864.65625,71779.9296875,75640.09375,67215363944
2026-02-05,62702.09765625,73161.5546875,62353.53515625,73016.375,125509410908
2026-02-06,70555.390625,71681.3046875,60074.203125,62704.453125,114674259489
2026-02-07,69281.96875,71611.1484375,67364.4453125,70553.796875,62347107663
2026-02-08,70264.7265625,72206.90625,68852.8984375,69283.7265625,39721722619
2026-02-09,70120.78125,71369.96875,68291.03125,70243.328125,52081598792
2026-02-10,68793.9609375,70464.265625,67913.09375,70137.390625,40593063077
2026-02-11,66991.96875,69242.6796875,65757.3046875,68791.859375,49671946030
2026-02-12,66221.84375,68339.4921875,65092.109375,66992.1953125,44651071271
2026-02-13,68857.84375,69382.8359375,65835.78125,66213.375,40820775886
2026-02-14,69767.625,70481.1640625,68706.6171875,68856.984375,36012397645
2026-02-15,68788.1875,70939.2890625,68052.546875,69764.953125,40191152750
2026-02-16,68843.15625,70067.234375,67301.5859375,68782.3984375,33618145426
2026-02-17,67494.21875,69201.8671875,66615.28125,68843.09375,34866936040
2026-02-18,66425.3203125,68434.4296875,65845.8984375,67488.0234375,33094301643
2026-02-19,66957.5234375,67277.125,65637.4296875,66425.625,31492987019
2026-02-20,68005.421875,68269.03125,66452.484375,66958.578125,47507867304
2026-02-21,68003.765625,68657.703125,67533.0703125,68000.25,18357635642
2026-02-22,67659.390625,68235.2265625,67185.6015625,67998.828125,17893536012
2026-02-23,64616.73828125,67668.4296875,63924.4375,67668.4296875,50953457309
2026-02-24,64080.04296875,64992.15625,62553.1875,64616.015625,40849331086
2026-02-25,67960.125,69953.53125,63942.484375,64077.76953125,53629234355
2026-02-26,67453.7734375,68843.3515625,66523.734375,67954.8671875,42988597523
2026-02-27,65881.796875,68220.40625,64946.03515625,67456.515625,40283655942
2026-02-28,66995.859375,67714.5234375,63062.21875,65878.9296875,42041497112
2026-03-01,65738.1015625,68162.8203125,65076.73046875,67005.8828125,40733141929
2026-03-02,68775.8515625,70044.0,65303.13671875,65734.078125,56698092052
2026-03-03,68293.6484375,69232.890625,66237.6171875,68785.078125,47947999049
2026-03-04,72710.578125,74051.8046875,67437.40625,68290.5625,75073101274
2026-03-05,70841.125,73555.7890625,70654.8828125,72712.65625,51172841727
2026-03-07,68200.265625,68348.6796875,68101.7734375,68123.703125,41639919616
