Datetime,Close,High,Low,Open,Volume
2025-03-14 00:00:00+00:00,81578.796875,81634.9765625,80858.3359375,80988.4921875,139757568
2025-03-14 01:00:00+00:00,81566.78125,81833.0078125,81231.40625,81471.5625,0
2025-03-14 02:00:00+00:00,82075.71875,82108.203125,81579.921875,81591.5859375,0
2025-03-14 03:00:00+00:00,81852.265625,82136.2578125,81742.734375,82136.2578125,0
2025-03-14 04:00:00+00:00,81944.296875,81997.3671875,81888.390625,81901.4921875,0
2025-03-14 05:00:00+00:00,82131.671875,82138.5,81821.1015625,81932.265625,0
2025-03-14 06:00:00+00:00,82012.125,82113.5234375,81784.3828125,82113.5234375,0
2025-03-14 07:00:00+00:00,82242.9140625,82426.1015625,81903.5703125,81992.8671875,0
2025-03-14 08:00:00+00:00,82581.1796875,82591.9375,82191.2421875,82191.2421875,0
2025-03-14 09:00:00+00:00,82778.734375,82888.765625,82579.65625,82579.65625,0
2025-03-14 10:00:00+00:00,83024.875,83228.0859375,82673.4765625,82789.4609375,0
2025-03-14 11:00:00+00:00,83294.6953125,83297.265625,82987.1953125,83053.21875,153321472
2025-03-14 12:00:00+00:00,83407.578125,83486.7421875,83085.265625,83215.4921875,0
2025-03-14 13:00:00+00:00,83581.6015625,83819.3828125,83181.109375,83416.9140625,0
2025-03-14 14:00:00+00:00,83446.1015625,83446.1015625,82682.328125,83223.7734375,494084096
2025-03-14 15:00:00+00:00,84746.7265625,85160.1796875,83549.6484375,83549.6484375,2711707648
2025-03-14 16:00:00+00:00,84779.875,84884.5546875,84067.921875,84797.484375,479569920
2025-03-14 17:00:00+00:00,84346.9921875,84811.625,84232.2265625,84804.8359375,0
2025-03-14 18:00:00+00:00,84600.0078125,84650.234375,84247.5078125,84490.59375,0
2025-03-14 19:00:00+00:00,84609.84375,84912.21875,84483.1796875,84540.671875,0
2025-03-14 20:00:00+00:00,84184.984375,84522.0078125,83792.546875,84522.0078125,381278208
2025-03-14 21:00:00+00:00,84204.203125,84292.796875,83977.3359375,84149.65625,0
2025-03-14 22:00:00+00:00,84438.4375,84510.6875,84126.71875,84222.9921875,303788032
2025-03-14 23:00:00+00:00,83979.75,84431.9296875,83979.75,84431.1796875,0
2025-03-15 00:00:00+00:00,84326.9765625,84341.5390625,83989.8046875,83989.8046875,0
2025-03-15 01:00:00+00:00,84352.7421875,84525.078125,84157.7578125,84311.375,0
